id,sentence,aspect,aspect_token,label,label_text,input_text,label_id
580,tiền nào của đó thôi mọi người ơi giá rẻ quần sẻ mỏng và chỉ thừa hay lỗi rất nhiều ai lên dáng thì không giống mẫu đâu : hơi thất vọng nhưng cửa hàng nhiệt tình lắm mọi người,cham_soc_khach_hang,cửa hàng nhiệt tình ,2,positive,tiền nào của đó thôi mọi người ơi giá rẻ quần sẻ mỏng và chỉ thừa hay lỗi rất nhiều ai lên dáng thì không giống mẫu đâu : hơi thất vọng nhưng cửa hàng nhiệt tình lắm mọi người [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ,2
158,"quần ống rất rộng , y như quần bị lỗi ống như cái bao đóng gói không kĩ được cái shippo nhiệt tình",giao_hang,shippo nhiệt tình,2,positive,"quần ống rất rộng , y như quần bị lỗi ống như cái bao đóng gói không kĩ được cái shippo nhiệt tình [SEP] ship giao hàng vận chuyển giao lâu",2
645,"nếu mà được cho thang điểm về quần baggy thì mình sẽ cho 10 sản phẩm rất kỳ tuyệt vời thật sự mua hàng shoppe nhiều nhưng chưa có sp nào mà ưng ý ntn cả, ưng ý từ cách phục vụ tư vấn, cửa hàng giao hàng nhanh, đóng gói cẩn thận mà giá lại rất rẻ, mình sẽ ủng hộ cửa hàng dài dài. thanks",giao_hang, cửa hàng giao hàng nhanh,2,positive,"nếu mà được cho thang điểm về quần baggy thì mình sẽ cho 10 sản phẩm rất kỳ tuyệt vời thật sự mua hàng shoppe nhiều nhưng chưa có sp nào mà ưng ý ntn cả, ưng ý từ cách phục vụ tư vấn, cửa hàng giao hàng nhanh, đóng gói cẩn thận mà giá lại rất rẻ, mình sẽ ủng hộ cửa hàng dài dài. thanks [SEP] ship giao hàng vận chuyển giao lâu",2
529,"cửa hàng giao thiếu. báo hết, hoàn tiền. đặt chỉ có 2 nhưng vẫn thiếu hàng",giao_hang,cửa hàng giao thiếu,0,negative,"cửa hàng giao thiếu. báo hết, hoàn tiền. đặt chỉ có 2 nhưng vẫn thiếu hàng [SEP] ship giao hàng vận chuyển giao lâu",0
200,"đáng với tiền mua, mặc mấy ngày không sao , sau mấy ngày sau vải bị xù lông , rất bực , mọi người không nên mua",do_ben, sau mấy ngày sau vải bị xù lông,0,negative,"đáng với tiền mua, mặc mấy ngày không sao , sau mấy ngày sau vải bị xù lông , rất bực , mọi người không nên mua [SEP] độ bền bền rách bung hỏng",0
641,"cửa hàng giao hàng nhanh. nhưng có điều, mình mua cửa hàng rất nhiều lần nhưng lần này chất liệu vải lại khác và kém hơn lâu trước mình mua rất nhiều. hi vọng cửa hàng đừng làm mình thất vọng, những lần sau. vẫn ủng hộ cửa hàng",giao_hang,cửa hàng giao hàng nhanh,2,positive,"cửa hàng giao hàng nhanh. nhưng có điều, mình mua cửa hàng rất nhiều lần nhưng lần này chất liệu vải lại khác và kém hơn lâu trước mình mua rất nhiều. hi vọng cửa hàng đừng làm mình thất vọng, những lần sau. vẫn ủng hộ cửa hàng [SEP] ship giao hàng vận chuyển giao lâu",2
113,"màu ghi là màu xanh xám nhìn cũ và không giống màu cửa hàng đăng, chất liệu vải phù hợp với giá",chat_lieu,chất liệu vải phù hợp với giá,1,neutral,"màu ghi là màu xanh xám nhìn cũ và không giống màu cửa hàng đăng, chất liệu vải phù hợp với giá [SEP] vải chất liệu vải thun cotton jean kaki",1
301,cửa hàng bị câm.liên hệ không ai phản hồi làm ăn như ccc,uy_tin_cua_hang,làm ăn như ccc,0,negative,cửa hàng bị câm.liên hệ không ai phản hồi làm ăn như ccc [SEP] uy tín shop cửa hàng đáng tin,0
291,quần làm như có người bận trước rồi nên mua về là mổ phi quần ra rồi,gia_cong,mua về là mổ phi quần ra rồi,0,negative,quần làm như có người bận trước rồi nên mua về là mổ phi quần ra rồi [SEP] đường may gia công chỉ may,0
38,chất lượng thì ổn nhưng đã cắt cúc nghi vẫn hàng không chuẩn,uy_tin_cua_hang,nghi vẫn hàng không chuẩn,1,neutral,chất lượng thì ổn nhưng đã cắt cúc nghi vẫn hàng không chuẩn [SEP] uy tín shop cửa hàng đáng tin,1
294,quần đẹp lắm may chỉnh chu tỉ mỉ. mình mua bên cửa hàng đây là cái quần thứ 4 rồi. điểm trừ của lần này là eo rộng hơn 3 lần trước mình phải đi bóp eo 🥲,kich_co, eo rộng hơn 3 lần trước mình phải đi bóp eo ,0,negative,quần đẹp lắm may chỉnh chu tỉ mỉ. mình mua bên cửa hàng đây là cái quần thứ 4 rồi. điểm trừ của lần này là eo rộng hơn 3 lần trước mình phải đi bóp eo 🥲 [SEP] size kích cỡ rộng chật ngắn dài,0
268,kiểu dáng quần tốt kích cỡ chuẩn hoàn thiện chưa tốt chi tiết và nhiều chỉ thừa chất vải mềm nhưng kiểu rẻ mặc nóng dày nchug tiền nào của lấy ai thích rẻ thì mua đánh giá thêm vì nay mình mới xem kĩ thấy đường may không chắc chắn chỉ nối loằng ngoằng tuột hết đường liên khết các mảnh vải thực sực đáng suy ngẫm trc khi mua rẻ nhưng không ứng dụng được tốt thì cũng không đáng lắm,kieu_dang,kiểu dáng quần tốt,2,positive,kiểu dáng quần tốt kích cỡ chuẩn hoàn thiện chưa tốt chi tiết và nhiều chỉ thừa chất vải mềm nhưng kiểu rẻ mặc nóng dày nchug tiền nào của lấy ai thích rẻ thì mua đánh giá thêm vì nay mình mới xem kĩ thấy đường may không chắc chắn chỉ nối loằng ngoằng tuột hết đường liên khết các mảnh vải thực sực đáng suy ngẫm trc khi mua rẻ nhưng không ứng dụng được tốt thì cũng không đáng lắm [SEP] kiểu dáng form thiết kế mẫu,2
663,vải và kiểu dáng khá dày và đứng nhưng phần thắt lưng làm bị lỗi nút khi cài vào bị đùn và thắt lưng may không khéo lắm,gia_cong,phần thắt lưng làm bị lỗi nút khi cài vào bị đùn và thắt lưng may không khéo lắm,0,negative,vải và kiểu dáng khá dày và đứng nhưng phần thắt lưng làm bị lỗi nút khi cài vào bị đùn và thắt lưng may không khéo lắm [SEP] đường may gia công chỉ may,0
384,quần đẹp kiểu dáng cũng đẹp . có mỗi tội cấn lễ giao rất lâu không có quần đi chơi với crush nên chấm 1 sao,chat_luong,quần đẹp,2,positive,quần đẹp kiểu dáng cũng đẹp . có mỗi tội cấn lễ giao rất lâu không có quần đi chơi với crush nên chấm 1 sao [SEP] chất lượng tốt xấu thất vọng hài lòng,2
144,quà đi tặng nên không rõ chất lượng nhưng màu ghi không đúng với màu mình mong muốn như hình lắm. giao hàng nhanh,giao_hang, giao hàng nhanh,2,positive,quà đi tặng nên không rõ chất lượng nhưng màu ghi không đúng với màu mình mong muốn như hình lắm. giao hàng nhanh [SEP] ship giao hàng vận chuyển giao lâu,2
534,"mình không hiểu tại sao lúc nào nút cài cũng bị rạch ra trước chứ không phải để nguyên như những brand khác. cảm gíc như hàng đã qua sử dụng hoặc giao hàng sample, trưng bày cho mình. đường chỉ may vừa ổn chiều dài quần: ngắn, bạn mặc kích cỡ 30 nhưng phải order 31 về bóp eo lại thì mới đẹp chiều dài kiểu dáng quần chuẩn: suông vừa, không bó, không rộng, giấu được chân cong",gia_cong,đường chỉ may vừa ổn,1,neutral,"mình không hiểu tại sao lúc nào nút cài cũng bị rạch ra trước chứ không phải để nguyên như những brand khác. cảm gíc như hàng đã qua sử dụng hoặc giao hàng sample, trưng bày cho mình. đường chỉ may vừa ổn chiều dài quần: ngắn, bạn mặc kích cỡ 30 nhưng phải order 31 về bóp eo lại thì mới đẹp chiều dài kiểu dáng quần chuẩn: suông vừa, không bó, không rộng, giấu được chân cong [SEP] đường may gia công chỉ may",1
490,sp cũng bình thường vx có chỉ thừa và bị lem 1 số chỗ,gia_cong, có chỉ thừa và bị lem 1 số chỗ,0,negative,sp cũng bình thường vx có chỉ thừa và bị lem 1 số chỗ [SEP] đường may gia công chỉ may,0
385,"quần phải nói là đẹp rất chất vải mịn, co dãn tốt sờ thích, cạp quần chắc chắn dày dặn, miệng túi quần may dày chắc không lo bị rách nha, kích cỡ của cửa hàng khá chuẩn rồi, vừa mua của cửa hàng 1 cái nhận xong thấy ưng thích rất đặt thêm cái nữa: , đáng đồng tiền bỏ ra rất trời, sẽ ủng hộ khi có dịp khác, rcm mọi người mua nha, cửa hàng uy tín, 5 sao không nói nhiều:",chat_lieu,"chất vải mịn, co dãn tốt sờ thích",2,positive,"quần phải nói là đẹp rất chất vải mịn, co dãn tốt sờ thích, cạp quần chắc chắn dày dặn, miệng túi quần may dày chắc không lo bị rách nha, kích cỡ của cửa hàng khá chuẩn rồi, vừa mua của cửa hàng 1 cái nhận xong thấy ưng thích rất đặt thêm cái nữa: , đáng đồng tiền bỏ ra rất trời, sẽ ủng hộ khi có dịp khác, rcm mọi người mua nha, cửa hàng uy tín, 5 sao không nói nhiều: [SEP] vải chất liệu vải thun cotton jean kaki",2
593,chiều dài ngắn nhưng eo rất rộng,kieu_dang,chiều dài ngắn nhưng eo rất rộng,0,negative,chiều dài ngắn nhưng eo rất rộng [SEP] kiểu dáng form thiết kế mẫu,0
554,"đóng gói sp chắc chắn, giao hàng nhanh, vải quần dày from tạm. 3 sao cho quần kem cẩu thả tới mức gấu quần tuột chỉ như vậy mà cũng gửi cho khách được thất vọng định trả hàng nhưng thôi chắc không có lần sau.",chat_lieu, vải quần dày ,2,positive,"đóng gói sp chắc chắn, giao hàng nhanh, vải quần dày from tạm. 3 sao cho quần kem cẩu thả tới mức gấu quần tuột chỉ như vậy mà cũng gửi cho khách được thất vọng định trả hàng nhưng thôi chắc không có lần sau. [SEP] vải chất liệu vải thun cotton jean kaki",2
378,quần fom đẹp nmà vải xấu rất à về bị chê á nên là cân nhắc trc khi mua nha,chat_lieu, vải xấu ,0,negative,quần fom đẹp nmà vải xấu rất à về bị chê á nên là cân nhắc trc khi mua nha [SEP] vải chất liệu vải thun cotton jean kaki,0
46,mình muốn đổi mà liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém,cham_soc_khach_hang, liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém,0,negative,mình muốn đổi mà liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ,0
688,"quần vải không đẹp gì hết chơn,mặc hơi rộng,phải đi sửua lạiiiiiii",kich_co,"mặc hơi rộng,phải đi sửua lạiiiiiii",0,negative,"quần vải không đẹp gì hết chơn,mặc hơi rộng,phải đi sửua lạiiiiiii [SEP] size kích cỡ rộng chật ngắn dài",0
638,vải mềm nhưng rất rộng may không đẹp lỡ mua lần đầu mà thấy không hợp nên chắc là lần cuối mua luôn,chat_lieu,vải mềm ,2,positive,vải mềm nhưng rất rộng may không đẹp lỡ mua lần đầu mà thấy không hợp nên chắc là lần cuối mua luôn [SEP] vải chất liệu vải thun cotton jean kaki,2
615,"quần đẹp vải mịn, nhưng mà cúc quần đã bị được sử dụng ròi ấy, nên không hài lòng cho lắm",chat_lieu,vải mịn,2,positive,"quần đẹp vải mịn, nhưng mà cúc quần đã bị được sử dụng ròi ấy, nên không hài lòng cho lắm [SEP] vải chất liệu vải thun cotton jean kaki",2
512,cũng tạm được thôi,chat_luong,cũng tạm được thôi,1,neutral,cũng tạm được thôi [SEP] chất lượng tốt xấu thất vọng hài lòng,1
133,"cửa hàng giao quần không có nút gài, rất xấu",gia_cong," quần không có nút gài, rất xấu",0,negative,"cửa hàng giao quần không có nút gài, rất xấu [SEP] đường may gia công chỉ may",0
6,"quần thì được, nhưng mà séc kéo bị hư ",gia_cong,séc kéo bị hư ,0,negative,"quần thì được, nhưng mà séc kéo bị hư  [SEP] đường may gia công chỉ may",0
390,"nhắn tin cửa hàng không phản hồi về việc kích cỡ quần . ảnh mang tính chất đánh giá . nhận hàng thứ 6 tuần trước đến giờ vãn không phản hôi . bù lại chất lượng quần với giá tiền đó thì tạm ổn nhiều chỉ thừa, may lệch khuy",chat_luong,chất lượng quần với giá tiền đó thì tạm ổn ,1,neutral,"nhắn tin cửa hàng không phản hồi về việc kích cỡ quần . ảnh mang tính chất đánh giá . nhận hàng thứ 6 tuần trước đến giờ vãn không phản hôi . bù lại chất lượng quần với giá tiền đó thì tạm ổn nhiều chỉ thừa, may lệch khuy [SEP] chất lượng tốt xấu thất vọng hài lòng",1
469,nhiều chỉ thừa may lỗi cửa hàng phục vụ rất nhiệt tình,gia_cong,nhiều chỉ thừa,0,negative,nhiều chỉ thừa may lỗi cửa hàng phục vụ rất nhiệt tình [SEP] đường may gia công chỉ may,0
427,cửa hàng phục vụ rất kém mình có đặt đơn hàng từ ngày 15 1 đến hnay 22 1 vẫn chưa giao và huỷ luôn đơn hàng của mình mình đã dùng vocher đổi cả freeship có vô nhắn cửa hàng gửi hàn giúp mình cửa hàng tốt nhưng hnay nhận được tbao huỷ hàng còn quần thjf chất lượng tốt ạ chỉ muốn nói đến thái độ cskh không tốt,cham_soc_khach_hang,"cửa hàng phục vụ rất kém,  thái độ cskh không tốt",0,negative,cửa hàng phục vụ rất kém mình có đặt đơn hàng từ ngày 15 1 đến hnay 22 1 vẫn chưa giao và huỷ luôn đơn hàng của mình mình đã dùng vocher đổi cả freeship có vô nhắn cửa hàng gửi hàn giúp mình cửa hàng tốt nhưng hnay nhận được tbao huỷ hàng còn quần thjf chất lượng tốt ạ chỉ muốn nói đến thái độ cskh không tốt [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ,0
677,"quần đẹp giá ổn, tôn dáng, vải tốt nói chung là đáng tiền lắm luôn mọi người nên mua, mặc đi chơi đi học đi làm đều hợp dễ phối đồ nữa. cảm ơn cửa hàng 😍.",kieu_dang," tôn dáng,",2,positive,"quần đẹp giá ổn, tôn dáng, vải tốt nói chung là đáng tiền lắm luôn mọi người nên mua, mặc đi chơi đi học đi làm đều hợp dễ phối đồ nữa. cảm ơn cửa hàng 😍. [SEP] kiểu dáng form thiết kế mẫu",2
388,"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày.",cham_soc_khach_hang, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối,0,negative,"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày. [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ",0
505,bị bung chỉ nhiều vài chỗ may không kĩ,gia_cong,bị bung chỉ nhiều vài chỗ may không kĩ,0,negative,bị bung chỉ nhiều vài chỗ may không kĩ [SEP] đường may gia công chỉ may,0
499,"chất liệu tốt như những gì đã miêu tả, không hề có 1 sợi chỉ dư nào, sẽ tiếp tục ủng hộ cửa hàng trong thời gian tới.",gia_cong, không hề có 1 sợi chỉ dư nào,2,positive,"chất liệu tốt như những gì đã miêu tả, không hề có 1 sợi chỉ dư nào, sẽ tiếp tục ủng hộ cửa hàng trong thời gian tới. [SEP] đường may gia công chỉ may",2
280,"mình có nt nói với cửa hàng xin đổi kích cỡ nhma đợi gần cả tuần mình nt hỏi lại thì bảo không đổi được hẹn lại qua tết đổi : chả hỉu tsao không đổi được không nt báo khách 1 tiếng để biet mà di sửa, mua quần mặc tết mà kêu qua tết đổi 🥲",cham_soc_khach_hang, không nt báo khách 1 tiếng,0,negative,"mình có nt nói với cửa hàng xin đổi kích cỡ nhma đợi gần cả tuần mình nt hỏi lại thì bảo không đổi được hẹn lại qua tết đổi : chả hỉu tsao không đổi được không nt báo khách 1 tiếng để biet mà di sửa, mua quần mặc tết mà kêu qua tết đổi 🥲 [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ",0
220,không hài lòng cửa hàng,uy_tin_cua_hang,không hài lòng cửa hàng,0,negative,không hài lòng cửa hàng [SEP] uy tín shop cửa hàng đáng tin,0
30,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông",cham_soc_khach_hang,tư vấn chán,0,negative,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông [SEP] chăm sóc khách hàng tư vấn phản hồi rep tin nhắn hỗ trợ",0
388,"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày.",chat_luong,sản phẩm ở mức tạm được,1,neutral,"sản phẩm ở mức tạm được vì giá rẻ, hàng rộng hơn rất nhiều so với bảng quy ước, chat phản hồi khách hàng có nhưng từ sáng đến chiều tối, giao hàng thì siêu lâu nội thành mất 10 ngày. [SEP] chất lượng tốt xấu thất vọng hài lòng",1
377,mặc được đúng 1 lần bung chỉ. đây là chiếc thứ 2 bị như vậy,do_ben,mặc được đúng 1 lần bung chỉ,0,negative,mặc được đúng 1 lần bung chỉ. đây là chiếc thứ 2 bị như vậy [SEP] độ bền bền rách bung hỏng,0
501,"mặc vô cảm thấy lịch lãm, thoải mái và rộng rãi. giá cả phù hợp với học sinh. mua 2 sản phẩm vừa được giảm giả vừa được nhận quà. mua ở cửa hàng lâu rồi mà vẫn thấy cửa hàng chất lượng nên quất luôn 2 cái quần 😘",kich_co, thoải mái và rộng rãi,2,positive,"mặc vô cảm thấy lịch lãm, thoải mái và rộng rãi. giá cả phù hợp với học sinh. mua 2 sản phẩm vừa được giảm giả vừa được nhận quà. mua ở cửa hàng lâu rồi mà vẫn thấy cửa hàng chất lượng nên quất luôn 2 cái quần 😘 [SEP] size kích cỡ rộng chật ngắn dài",2
233,quần fom đẹp lắm ạ chất vải ổn luôn đường may chắc chắn không có chỉ thừa đáng tiền lắm ă ạ đã mua 2 lần chắc chắn lương sau sẽ mua tiếp,gia_ca, đáng tiền lắm ,2,positive,quần fom đẹp lắm ạ chất vải ổn luôn đường may chắc chắn không có chỉ thừa đáng tiền lắm ă ạ đã mua 2 lần chắc chắn lương sau sẽ mua tiếp [SEP] giá giá tiền mắc rẻ,2
648,"vải đẹp đường chỉ khá đều, chất lượng ổn nhưng mình 1m7 side 30 vẫn khá ngắn so với bảng số đo của cửa hàng",kich_co, khá ngắn so với bảng số đo của cửa hàng,0,negative,"vải đẹp đường chỉ khá đều, chất lượng ổn nhưng mình 1m7 side 30 vẫn khá ngắn so với bảng số đo của cửa hàng [SEP] size kích cỡ rộng chật ngắn dài",0
690,chất liệu ổn nhưng kiểu dáng thiết kế nó cứ sao sao ấy phần không thì dài với rộng lắm mình mua nó bị rộng ạ,chat_lieu,chất liệu ổn,1,neutral,chất liệu ổn nhưng kiểu dáng thiết kế nó cứ sao sao ấy phần không thì dài với rộng lắm mình mua nó bị rộng ạ [SEP] vải chất liệu vải thun cotton jean kaki,1
170,mua giảm giá nên chất lượng kém hơn mua giá gốc,chat_luong, chất lượng kém hơn,0,negative,mua giảm giá nên chất lượng kém hơn mua giá gốc [SEP] chất lượng tốt xấu thất vọng hài lòng,0
436,"hàng giao hàng nhanh, giá tốt, đóng gói cẩn thận, xin cảm ơnnnnnnnnn",gia_ca,giá tốt,2,positive,"hàng giao hàng nhanh, giá tốt, đóng gói cẩn thận, xin cảm ơnnnnnnnnn [SEP] giá giá tiền mắc rẻ",2
376,chất lượng sản phẩm rất xất đóng gói sản phẩm rất đẹp và chắc chắn giao hàng nhanh,dong_goi,đóng gói sản phẩm rất đẹp và chắc chắn,2,positive,chất lượng sản phẩm rất xất đóng gói sản phẩm rất đẹp và chắc chắn giao hàng nhanh [SEP] đóng gói bao bì đóng hộp,2
407,"chất liệu ổn, vải cũng không đẹp lắm, đường may còn nhiều chỉ thừa",gia_cong,đường may còn nhiều chỉ thừa,0,negative,"chất liệu ổn, vải cũng không đẹp lắm, đường may còn nhiều chỉ thừa [SEP] đường may gia công chỉ may",0
559,quần may lỗi và chỉ thừa rất nhiều. lần trước mình đặt áo thì hàng đẹp mình tin tưởng nên đặt quần nhưng thật sự rất buồn không nghĩ là cửa hàng giao quần lỗi đến như vậy nguyên 1 dàn 6 cái đỉa quần belt loop đều may lỗi và bị lệch. mất 20p để cắt chỉ rồi còn phải mang đi may lại đỉa.,gia_cong,"quần may lỗi và chỉ thừa rất nhiều,  quần lỗi đến như vậy nguyên 1 dàn 6 cái đỉa quần belt loop đều may lỗi và bị lệch",0,negative,quần may lỗi và chỉ thừa rất nhiều. lần trước mình đặt áo thì hàng đẹp mình tin tưởng nên đặt quần nhưng thật sự rất buồn không nghĩ là cửa hàng giao quần lỗi đến như vậy nguyên 1 dàn 6 cái đỉa quần belt loop đều may lỗi và bị lệch. mất 20p để cắt chỉ rồi còn phải mang đi may lại đỉa. [SEP] đường may gia công chỉ may,0
310,"màu ghi xám không giống trên hình, nó hơi hướng xanh biển rất xấu",mau_sac,"màu ghi xám không giống trên hình, nó hơi hướng xanh biển rất xấu",0,negative,"màu ghi xám không giống trên hình, nó hơi hướng xanh biển rất xấu [SEP] màu màu sắc đậm nhạt",0
487,"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất",kieu_dang,kiểu dáng thì được,1,neutral,"kiểu dáng thì được nhưng vải rất mỏng, không biết những màu khá như nào nhưng trắng rất mỏng, lộ cả túi, lộ đường chỉ ở mông, phản cảm rất [SEP] kiểu dáng form thiết kế mẫu",1
507,hàng tốt mình rất ưng ý về anh zai mình mặc vừa in luôn.fom quần đứng mặc đẹp.sẽ ủng hộ cửa hàng tiếp lần sau. cho cửa hàng 5 sao nhé.,chat_luong,hàng tốt ,2,positive,hàng tốt mình rất ưng ý về anh zai mình mặc vừa in luôn.fom quần đứng mặc đẹp.sẽ ủng hộ cửa hàng tiếp lần sau. cho cửa hàng 5 sao nhé. [SEP] chất lượng tốt xấu thất vọng hài lòng,2
323,"đây là lần thứ 2 mua lại sản phẩm này chỉ là khác màu thôi nhưng mà đợt này thì quần có điểm trừ lớn nhất là còn nhiều chỉ thừa. nhìn chung quần đẹp đúng màu, giao hàng nhanh, kiểu dáng đẹp",kieu_dang,kiểu dáng đẹp,2,positive,"đây là lần thứ 2 mua lại sản phẩm này chỉ là khác màu thôi nhưng mà đợt này thì quần có điểm trừ lớn nhất là còn nhiều chỉ thừa. nhìn chung quần đẹp đúng màu, giao hàng nhanh, kiểu dáng đẹp [SEP] kiểu dáng form thiết kế mẫu",2
184,chưa mặc đã bục chỉ,gia_cong,chưa mặc đã bục chỉ,0,negative,chưa mặc đã bục chỉ [SEP] đường may gia công chỉ may,0
709,"mua lần 2 nhưng khá thất vọng giao hàng 4 ngày nhưng đến 10 ngày chờ vì bị quên chất vải thấy không đẹp như lần đầu đau bự lièn khó bóp sửa giá cao hơn, lần trước có 2 khuy cài nhìn rất chắc chắn quần mới chỉ có 1 nút. khá thất vọng",gia_cong,quần mới chỉ có 1 nút. khá thất vọng,0,negative,"mua lần 2 nhưng khá thất vọng giao hàng 4 ngày nhưng đến 10 ngày chờ vì bị quên chất vải thấy không đẹp như lần đầu đau bự lièn khó bóp sửa giá cao hơn, lần trước có 2 khuy cài nhìn rất chắc chắn quần mới chỉ có 1 nút. khá thất vọng [SEP] đường may gia công chỉ may",0
482,đường may khá là xấu nên không được hài lòng cho lắm,gia_cong,đường may khá là xấu,0,negative,đường may khá là xấu nên không được hài lòng cho lắm [SEP] đường may gia công chỉ may,0
160,muaa ở cửa hàng hai lầnnn rồiii mà lần nào cũng rất lâuuu sp thì tạm ổnn do đường may nên làm dáng qần hơii kì,chat_luong,sp thì tạm ổnn,1,neutral,muaa ở cửa hàng hai lầnnn rồiii mà lần nào cũng rất lâuuu sp thì tạm ổnn do đường may nên làm dáng qần hơii kì [SEP] chất lượng tốt xấu thất vọng hài lòng,1
454,đặt 1 màu giao 1 màu,mau_sac,đặt 1 màu giao 1 màu,0,negative,đặt 1 màu giao 1 màu [SEP] màu màu sắc đậm nhạt,0
